# Trilegal 1.6 run queried by C. Hirata, May 16, 2016
# Stars to J=22 in 1 deg^2 at the South Galactic Pole
# Magnitudes are SDSS ugriz + UKIDSS ZYJHK
# SDSS are on approximate AB system, UKIDSS on Vega
#
# Effective wavelengths of the filters are below.
# Vega to AB offsets in UKIDSS ZYJHK are below.
# [Hewett et al.: http://www.ukidss.org/technical/photom/hewett-ukidss.pdf]
#
# The following lines of data are used to tell scripts reading this file where the information is:
#
#! col_m2/m1 = 10
#! col_first_band = 12
#! num_bands = 10
#! lambda = 0.3546, 0.4670, 0.6156, 0.7471, 0.8918, 0.8817, 1.0305, 1.2483, 1.6313, 2.2010
#! ab_offset = 0, 0, 0, 0, 0, 0.528, 0.634, 0.938, 1.379, 1.900
#
#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z      Z      Y      J      H      K        Mact
 1   7.45  0.25  0.03328 -2.917 3.390  4.385  5.00  0.023 0.00 17.062 26.518 22.619 20.928 18.578 17.038 16.610 15.643 14.844 14.443 14.023  0.033 
 1   7.49  0.17  0.59806 -1.166 3.614  4.785  8.00  0.037 0.00 15.686 19.813 17.365 16.152 15.633 15.321 14.794 14.495 14.042 13.396 13.271  0.598 
 1   7.57 -0.05  0.14212 -1.930 3.504  4.481  6.70  0.033 0.00 16.294 22.595 19.458 17.925 16.650 15.906 15.404 14.926 14.369 13.887 13.601  0.142 
 1   7.91 -0.15  0.29070 -1.903 3.567  5.021  6.90  0.034 0.00 16.429 21.309 18.619 17.234 16.462 16.002 15.481 15.132 14.659 14.125 13.908  0.291 
 1   7.93  0.11  0.37468 -1.713 3.569  4.945  8.40  0.037 0.00 17.452 22.306 19.701 18.366 17.521 17.021 16.503 16.137 15.660 15.119 14.910  0.375 
 1   8.09  0.05  0.06174 -3.071 3.419  4.921  8.00  0.037 0.80 19.926 29.551 25.238 23.478 21.230 19.837 19.405 18.528 17.741 17.304 16.930  0.062 
 1   8.35 -0.01  0.07015 -3.114 3.417  5.011  8.00  0.037 0.87 19.977 29.856 25.332 23.546 21.268 19.877 19.446 18.575 17.791 17.349 16.984  0.070 
 1   8.35  0.07  0.14212 -2.414 3.497  4.937 12.00  0.038 0.00 22.804 29.251 26.100 24.560 23.213 22.426 21.927 21.425 20.858 20.385 20.091  0.142 
 1   8.39 -0.11  1.19825  0.282 3.805  4.400  7.70  0.036 0.00 11.764 13.089 12.030 11.721 11.671 11.696 11.153 11.078 10.867 10.634 10.612  1.198 
 1   8.39  0.17  0.08704 -2.826 3.450  4.950 11.40  0.038 0.00 23.236 31.177 27.486 25.829 24.002 22.943 22.470 21.810 21.157 20.708 20.374  0.087 
 1   8.43 -0.05  0.16851 -2.320 3.519  5.008  9.20  0.038 0.00 19.769 25.701 22.675 21.186 20.039 19.366 18.858 18.417 17.883 17.388 17.116  0.169 
 1   8.57 -0.17  0.26564 -1.974 3.564  5.039  9.00  0.038 0.00 18.705 23.688 20.943 19.541 18.753 18.284 17.763 17.411 16.934 16.401 16.177  0.266 
 1   8.57  0.21  0.06135 -3.521 3.352  5.101  7.50  0.036 0.88 20.503 34.332 27.755 25.280 22.758 20.944 20.586 19.408 18.324 17.769 17.325  0.061 
 1   8.61  0.07  0.05105 -3.837 3.284  5.065  8.60  0.038 0.77 22.550 38.956 31.831 28.399 25.996 24.025 23.698 22.312 20.893 19.940 19.124  0.051 
 1   8.67 -0.13  0.65641 -0.952 3.644  4.731  8.50  0.037 0.94 15.018 18.667 16.368 15.275 14.901 14.685 14.153 13.897 13.468 12.840 12.735  0.656 
 1   8.67  0.19  0.08212 -3.050 3.425  5.050  8.30  0.037 0.82 20.406 29.815 25.541 23.778 21.614 20.301 19.865 19.031 18.246 17.785 17.425  0.082 
 1   8.69 -0.03  0.14893 -2.443 3.503  5.010  8.70  0.038 0.73 19.118 25.658 22.457 20.903 19.542 18.745 18.248 17.739 17.165 16.689 16.394  0.149 
 1   8.73  0.23  0.05726 -3.883 3.287  5.174  6.80  0.033 0.85 20.785 37.187 30.095 26.591 24.187 22.220 21.895 20.507 19.057 18.089 17.351  0.057 
