# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
    407 0.0000 0.1640 0.05965
    482 0.0000 0.2600 0.01649
    536 0.0000 0.1120 0.05944
    557 0.1360 0.1850 0.03334
    564 0.1390 0.2610 0.04792
    566 0.1530 0.3420 0.15962
    569 0.0000 0.1270 0.04805
    648 0.0780 0.2520 0.13990
    733 0.0000 0.2360 0.05522
    759 0.0860 0.8020 0.14034
    782 0.1330 0.3350 0.01530
    800 0.1680 0.1870 0.06108
    809 0.0730 0.5600 0.00900
    816 0.1370 0.2710 0.01361
    820 0.1410 0.2790 0.06005
    937 0.1420 0.3470 0.02265
    946 0.0000 0.2700 0.00685
    951 0.1160 0.5960 0.00115
    993 0.0000 0.2660 0.04786
    994 0.0000 0.4190 0.02136
   1015 0.1530 0.2810 0.09964
   1017 0.0000 0.4720 0.00674
   1061 0.1050 0.7370 0.00219
   1069 0.0000 2.2240 0.00013
   1078 0.1910 0.2550 0.03725
   1190 0.1420 0.1810 0.01737
   1192 0.1630 0.2250 0.09233
   1210 0.0000 0.3700 0.00436
   1232 0.1210 1.0700 0.00472
   1256 0.0000 0.2870 0.00313
   1308 0.0880 0.5350 0.09733
   1333 0.0000 0.1410 0.07114
   1337 0.0100 0.3910 0.02322
   1341 0.1540 0.2980 0.08552
   1381 0.0000 0.3100 0.10632
   1469 0.0000 0.8400 0.00133
   1506 0.0000 0.3580 0.01042
   1556 0.1080 0.3780 0.03205
   1573 0.1740 0.1620 0.05839
   1588 0.0000 0.5250 0.00114
   1593 0.1610 0.4490 0.15713
   1618 0.0000 1.0570 0.00146
   1637 0.0840 0.2360 0.05184
   1655 0.0000 0.2280 0.06758
   1807 0.0000 0.3640 0.00407
   1814 0.0000 0.5620 0.00232
   1855 0.1120 0.3800 0.03401
   1864 0.0000 0.4640 0.03143
   1912 0.0000 0.5670 0.00116
   1927 0.1350 1.1190 0.00171
   1998 0.0100 0.9490 0.05950
   2134 0.0620 0.2680 0.09559
   2136 0.0730 0.5950 0.06508
   2256 0.1520 0.2810 0.17041
   2280 0.0000 0.2590 0.00149
   2333 0.1470 0.2210 0.16108
   2359 0.0000 0.1560 0.02943
   2393 0.1680 0.1920 0.10973
   2408 0.0000 0.1160 0.07274
   2495 0.1580 0.4530 0.01557
   2519 0.1660 0.4160 0.01520
   2552 0.0000 0.2860 0.05901
   2613 0.0000 0.4410 0.02617
   2621 0.0000 0.6420 0.00481
   2644 0.0000 0.1430 0.00899
   2674 0.0000 0.3240 0.00992
   2795 0.0000 0.2490 0.00811
   2805 0.0000 0.4480 0.00259
   2847 0.0000 0.2230 0.01319
   2871 0.1750 0.2650 0.17339
   2896 0.0000 0.2490 0.00238
   2898 0.0000 0.2510 0.10174
   2905 0.0000 0.2560 0.04700
   2970 0.0990 1.0180 0.00890
   2980 0.0000 0.2370 0.05605
   2982 0.0000 0.3090 0.07652
   3027 0.0000 0.1850 0.14601
   3051 0.1540 0.8110 0.00910
   3112 0.0000 0.3030 0.00764
   3211 0.0970 0.2780 0.03733
   3280 0.0000 0.1240 0.02714
   3326 0.0000 0.3890 0.00192
   3371 0.0000 0.2080 0.02407
   3372 0.0000 0.3930 0.09505
   3510 0.1020 0.6430 0.00479
